"Performer","Album","Title","Score","Length","Deleted","Favorite"
"Burl Ives","The White Christmas Album","Rudolph the Red Nosed Reindeer","0","2:09","",""
"C+C Music Factory","Bang That Beat &quot;The Best Of&quot;","Gonna Make You Sweat (Everybody Dance Now)","5","4:04","","Да"
"C+C Music Factory","Gonna Make You Sweat","Gonna Make You Sweat (Everybody Dance Now)","5","4:03","Да","Да"
"C+C Music Factory","Gonna Make You Sweat","Here We Go, Let's Rock & Roll (feat. Freedom Williams)","5","5:40","","Да"
"C. C. Catch","Catch the Hits (С.C. Catch)","Cause You Are Young","0","3:29","",""
"C. C. Catch","The 80's Album","Backseat of Your Cadillac (Single Version)","0","3:21","",""
"C.C.Catch","I Can Lose My Heart Tonight '99","Soul Survivor '99 (new vocal version)","0","3:17","",""
"C.J. Bolland","The Analogue Theatre","Sugar Is Sweeter","0","5:03","",""
"Cal Tjader","The Girls From Ipanema: Best of Bossa Nova","Cal's Bluedo","0","5:35","",""
"Cal Tjader","The Girls From Ipanema: Best of Bossa Nova","Souled Out","0","4:18","",""
"Capitol Studio Orchestra","Christmas Cocktails, Vol.1","Cha-Cha All The Way (1996 - Remaster)","0","2:21","",""
"Carl Carlton","The ABC's Of Soul, Vol. 2 (Classics From The ABC Records Catalog 1969-1974)","Everlasting Love","5","2:36","","Да"
"Carl Douglas","The Soul of the Kung Fu Fighter","Kung Fu Fighting","5","3:17","","Да"
"Carlos Kleiber;Wiener Philharmoniker","Play Classical: New Year's Concert","An der schönen, blauen Donau, Op. 314","0","9:47","",""
"Carlos Kleiber;Wiener Philharmoniker","Play Classical: New Year's Concert","Radetzky-Marsch, Op. 228","0","2:53","",""
"Carpenters","Gold: Greatest Hits","Jambalaya (On the Bayou)","0","3:39","",""
"Carpenters","Gold: Greatest Hits","Please Mr. Postman","0","2:49","",""
"Carpenters","Gold: Greatest Hits","Top of the World","0","2:58","",""
"Carra Raffaella","","Raindrops keep falling on my head","5","3:24","","Да"
"Cerrone","The Impact","The Impact","0","3:03","",""
"Chad & Jeremy","The Brits Are Coming! More Than 80 Songs of the Original 60's British Invasion.","Willow Weep for Me","0","2:29","",""
"Charles Munch","Play Classical","Symphonie Fantastique, Op. 14: II. A Ball (Redbook Stereo)","5","6:12","","Да"
